date,index_open,index_high,index_low,index_close,margin_balance_thousand_ntd,margin_previous_balance_thousand_ntd,index_yoy,index_qoq,margin_roc,margin_roc_autocorr,autocorr_high_threshold,is_autocorr_high,index_yoy_z,index_qoq_z,margin_roc_z,margin_roc_autocorr_z,margin_roc_autocorr_percentile_full_sample,margin_roc_autocorr_percentile,margin_roc_autocorr_rank_252,margin_roc_persistence_score,margin_roc_autocorr_plot,index_yoy_z_plot,index_qoq_z_plot,margin_roc_z_plot,margin_roc_autocorr_bar,index_yoy_ref,index_qoq_ref,margin_roc_ref,autocorr_bar,index_close_return_20d,index_qoq_change_20d,margin_roc_change_20d,raw_signal,transition_watch,final_signal,final_signal_reason,leverage_cycle_phase,signal
2012-04-06,7667.9,7713.24,7638.05,7706.26,200224055.0,200267913.0,,,,,0.9958182015461547,False,,,,,,,,0.0,,,,,,,,,,-0.034854769705531696,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-04-09,7587.68,7650.89,7529.39,7600.87,198221212.0,200220909.0,,,,,0.9958182015461547,False,,,,,,,,0.0,,,,,,,,,,-0.05178885754883045,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-04-10,7659.03,7692.94,7605.67,7640.68,197063562.0,198220943.0,,0.09902894187603661,0.00973746234740358,,0.9958182015461547,False,,,,,,,,0.025,,,,,,,,,,-0.03618646366153477,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-04-11,7592.94,7666.07,7573.05,7656.67,196737454.0,197063236.0,,0.08553204279366766,0.014515949504256831,,0.9958182015461547,False,,,,,,,,0.05,,,,,,,,,,-0.0466711739137472,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-04-12,7669.46,7673.84,7599.0,7662.92,197912067.0,196737421.0,,0.08187949405404793,0.026907044427807225,,0.9958182015461547,False,,-0.4737322434559656,1.1309339802761353,,,,,0.1,,,-0.4737322434559656,1.1309339802761353,,,-0.4737322434559656,1.1309339802761353,,-0.056901563765344165,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-04-13,7734.55,7788.27,7733.18,7788.27,198017092.0,197912053.0,,0.09219224609654386,0.030904607296549313,,0.9958182015461547,False,,0.6149551242206959,0.6745,,,,,0.125,,,-0.3700477322486645,1.0874640773926938,,,-0.3700477322486645,1.0874640773926938,,-0.04104476693073544,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-04-16,7747.36,7749.49,7714.14,7729.86,197779641.0,198017044.0,,0.085576735374292,0.0320136021914712,,0.9958182015461547,False,,0.0,0.4502546317199272,,,,,0.15,,,-0.33480509108212503,1.026777463519097,,,-0.33480509108212503,1.026777463519097,,-0.04035784251651786,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-04-17,7736.7,7752.1,7585.87,7585.87,195963360.0,197779641.0,,0.06948078679945402,0.026420262424699636,,0.9958182015461547,False,,-2.968240950028058,-0.032148315586710136,,,,,0.175,,,-0.5856085062198328,0.9259273893185439,,,-0.5856085062198328,0.9259273893185439,,-0.05694362947418674,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-04-18,7676.48,7683.95,7590.98,7605.0,195571141.0,195963322.0,,0.05935892417608901,0.030291076313684107,,0.9958182015461547,False,,-3.0,0.5376610108927801,,,,,0.19999999999999998,,,-0.8155505532465154,0.8889496389922806,,,-0.8155505532465154,0.8889496389922806,,-0.046119884104506625,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-04-19,7602.28,7632.73,7528.04,7622.69,195283331.0,195571098.0,,0.06044342054558771,0.038077603014660344,,0.9958182015461547,False,,-2.325045708371587,1.2519738949811168,,,,,0.25,,,-0.9593119965917603,0.9235233776578841,,,-0.9593119965917603,0.9235233776578841,,-0.045007855233188954,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-04-20,7601.57,7605.22,7507.15,7507.15,193857466.0,195282577.0,,0.04460675314266305,0.044459993197721204,,0.9958182015461547,False,,-2.2031729606719233,1.3105064992651108,,,,,0.3,,,-1.0777749455517758,0.9603789130490485,,,-1.0777749455517758,0.9603789130490485,,-0.06858487780306055,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-04-23,7488.82,7521.42,7430.93,7481.09,192062968.0,193856632.0,,0.04171110931638622,0.061060098341724434,,0.9958182015461547,False,,-1.4254496956166887,2.167716367993888,,,,,0.35,,,-1.1108868265103389,1.0753634325676047,,,-1.1108868265103389,1.0753634325676047,,-0.0737339056856775,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-04-24,7457.02,7533.55,7444.79,7498.84,191338059.0,192062431.0,,0.05563642199329366,0.055167843646075854,,0.9958182015461547,False,,-0.6242418833773103,1.6638716572548953,,,,,0.4,,,-1.064539689069098,1.1314118349187752,,,-1.064539689069098,1.1314118349187752,,-0.058835637241735905,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-04-25,7552.78,7569.25,7525.69,7563.18,191205404.0,191329169.0,,0.04737518487539272,0.061185352273165794,,0.9958182015461547,False,,-0.7380036234990673,1.9670496353194955,,,,,0.44999999999999996,,,-1.0334410161576664,1.2109963873378915,,,-1.0334410161576664,1.2109963873378915,,-0.05807115297915422,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-04-26,7596.53,7600.45,7509.88,7521.35,191223157.0,191150085.0,,0.039766702747837,0.08773652154895784,,0.9958182015461547,False,,-0.8286530158431863,3.0,,,,,0.5,,,-1.013937397080097,1.3813776837819018,,,-1.013937397080097,1.3813776837819018,,-0.06428408809577413,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-04-27,7569.29,7598.45,7459.75,7480.5,189817555.0,191247165.0,,0.009867146546498784,0.07928245998876338,,0.9958182015461547,False,,-1.9189234226340381,2.408000301082649,,,,,0.55,,,-1.1001265423709485,1.479151266381973,,,-1.1001265423709485,1.479151266381973,,-0.04981289678456835,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-04-30,7439.22,7501.72,7422.14,7501.72,188638267.0,189809956.0,,-0.0020433466186338123,0.054828803917378544,,0.9958182015461547,False,,-2.164761916883957,0.8508042158065375,,,,,0.575,,,-1.2015203875626637,1.4193086901366934,,,-1.2015203875626637,1.4193086901366934,,-0.054365309466784306,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-05-02,7511.76,7679.07,7511.76,7676.81,190876764.0,188637878.0,,0.016902430850380457,0.05100840950378127,,0.9958182015461547,False,,-1.324266798767324,0.530168474069964,,,,,0.6000000000000001,,,-1.2132105219631075,1.3346286695589098,,,-1.2132105219631075,1.3346286695589098,,-0.02366684047870371,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-05-03,7671.06,7681.23,7643.09,7659.53,191032844.0,190876738.0,,0.0009238859138107625,0.0400873693050694,,0.9958182015461547,False,,-1.679762872415874,0.0,,,,,0.625,,,-1.2576440791490853,1.207521177219966,,,-1.2576440791490853,1.207521177219966,,-0.013055271007686109,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-05-04,7619.73,7704.87,7614.99,7700.95,191134501.0,191032897.0,,0.0033824148305079405,0.023067873588914267,,0.9958182015461547,False,,-1.3953546642472754,-0.8717434775337148,,,,,0.65,,,-1.2707593729679605,1.0094959720053298,,,-1.2707593729679605,1.0094959720053298,,0.008001497417478465,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-05-07,7608.35,7608.35,7515.69,7538.08,192755815.0,191134489.0,,-0.026243857573205354,0.013518344162789742,,0.9958182015461547,False,,-2.0089238618087757,-1.2473804767552459,,,,,0.675,,,-1.3410607528575618,0.794555357837656,,,-1.3410607528575618,0.794555357837656,,-0.021823815962607074,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-05-08,7572.16,7572.31,7522.29,7545.71,192982586.0,192755574.0,,-0.0185055112006014,0.010807322425196997,,0.9958182015461547,False,,-1.6621204579028315,-1.153844017420357,,,,,0.7,,,-1.371637867623778,0.608993512574988,,,-1.371637867623778,0.608993512574988,,-0.007257063993990176,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-05-09,7485.33,7513.71,7448.9,7475.71,193353844.0,192952682.0,,-0.03006575464745742,0.007613183118452493,,0.9958182015461547,False,,-1.6749187294525587,-1.0905340072502017,,,,,0.7,,,-1.400521759226519,0.44713374878211276,,,-1.400521759226519,0.44713374878211276,,-0.02159101022422094,-0.12909469652349403,-0.002124279228951087,NORMAL,deleveraging_risk_watch,NORMAL,raw_signal=NORMAL; transition_watch=deleveraging_risk_watch,normal,NORMAL
2012-05-10,7479.14,7523.37,7470.81,7484.01,192721447.0,193382615.0,,-0.04903486825135228,-0.008249897124453232,,0.9958182015461547,False,,-1.8306297152784392,-1.6724551806431107,,,,,0.675,,,-1.4414844217076541,0.24526813645590098,,,-1.4414844217076541,0.24526813645590098,,-0.02255027316052538,-0.13456691104501994,-0.022765846628710062,NORMAL,deleveraging_risk_watch,NORMAL,raw_signal=NORMAL; transition_watch=deleveraging_risk_watch,normal,NORMAL
2012-05-11,7472.56,7473.55,7382.95,7401.37,191553978.0,192721336.0,,-0.06439440864238422,-0.024539509713948693,,0.9958182015461547,False,,-2.0091631589776116,-2.2826875306260197,,,,,0.625,,,-1.495549063352412,0.004510453876670456,,,-1.495549063352412,0.004510453876670456,,-0.034131897501213704,-0.14627390269643215,-0.05144655414175592,NORMAL,deleveraging_risk_watch,NORMAL,raw_signal=NORMAL; transition_watch=deleveraging_risk_watch,normal,NORMAL
2012-05-14,7389.89,7412.59,7346.86,7377.18,190854645.0,191553670.0,,-0.061698466219043624,-0.040747496698387065,,0.9958182015461547,False,,-1.8537409885598077,-2.872774978945212,,,,,0.6,,,-1.5296625800388306,-0.26951673020160405,,,-1.5296625800388306,-0.26951673020160405,,-0.05278322400224955,-0.15389071231558749,-0.07165210399493638,NORMAL,deleveraging_risk_watch,NORMAL,raw_signal=NORMAL; transition_watch=deleveraging_risk_watch,normal,NORMAL
2012-05-15,7328.74,7396.42,7291.44,7395.64,191250261.0,190854278.0,,-0.06537038839061726,-0.057820234592539266,,0.9958182015461547,False,,-1.8214153008227054,-2.8998210096587345,,,,,0.575,,,-1.5574485534468185,-0.5200218996737117,,,-1.5574485534468185,-0.5200218996737117,,-0.04323752305992601,-0.15094712376490926,-0.08983383678401047,NORMAL,deleveraging_risk_watch,NORMAL,raw_signal=NORMAL; transition_watch=deleveraging_risk_watch,normal,NORMAL
2012-05-16,7376.71,7399.83,7234.57,7234.57,190597321.0,191249745.0,,-0.0823824720195635,-0.060236140338142286,,0.9958182015461547,False,,-1.8395910104971964,-2.472095480307857,,,,,0.55,,,-1.5843192636420926,-0.705933669257916,,,-1.5843192636420926,-0.705933669257916,,-0.04630978384812823,-0.15186325881901752,-0.08665640276284192,NORMAL,deleveraging_risk_watch,NORMAL,raw_signal=NORMAL; transition_watch=deleveraging_risk_watch,normal,NORMAL
2012-05-17,7304.4,7356.77,7274.32,7356.77,191179832.0,190596594.0,,-0.08100569127221657,-0.06753953912864663,,0.9958182015461547,False,,-1.4887296557172984,-2.6268960300590103,,,,,0.5249999999999999,,,-1.5752154914587788,-0.888882465524687,,,-1.5752154914587788,-0.888882465524687,,-0.03264036817882965,-0.14036461544830559,-0.09783061544233074,NORMAL,deleveraging_risk_watch,NORMAL,raw_signal=NORMAL; transition_watch=deleveraging_risk_watch,normal,NORMAL
2012-05-18,7252.24,7253.1,7149.36,7151.19,189296797.0,191179784.0,,-0.09130081197504358,-0.07027264909893949,,0.9958182015461547,False,,-1.4672790030550142,-2.6947574145243194,,,,,0.475,,,-1.5649358258965154,-1.0608705559056042,,,-1.5649358258965154,-1.0608705559056042,,-0.0618548045375058,-0.1517442325206313,-0.10835025211359983,NORMAL,deleveraging_risk_watch,NORMAL,raw_signal=NORMAL; transition_watch=deleveraging_risk_watch,normal,NORMAL
2012-05-21,7164.9,7220.1,7164.9,7192.23,188817170.0,189296044.0,,-0.08894071210332444,-0.07634785245578024,,0.9958182015461547,False,,-1.3579392051909143,-2.8488239481808413,,,,,0.425,,,-1.5452218620197913,-1.2311518313603886,,,-1.5452218620197913,-1.2311518313603886,,-0.041949341627648296,-0.13354746524598748,-0.12080784565350144,NORMAL,deleveraging_risk_watch,NORMAL,raw_signal=NORMAL; transition_watch=deleveraging_risk_watch,normal,NORMAL
